Year,Branch,Category,University Type,Percentile Score
2022,Electronics And Telecommunication,Open,Hu,69.6
2022,Electronics And Telecommunication,Open,Ohu,75.18
2022,Electronics And Telecommunication,Sc,Hu,26.31
2022,Electronics And Telecommunication,Sc,Ohu,68.81
2022,Electronics And Telecommunication,St,Hu,21.03
2022,Electronics And Telecommunication,St,Ohu,50.77
2022,Electronics And Telecommunication,Obc,Hu,64.73
2022,Electronics And Telecommunication,Obc,Ohu,70.21
2022,Mechanical Engineering,Open,Hu,4.33
2022,Mechanical Engineering,Open,Ohu,4.64
2022,Civil Engineering,Open,Hu,23.12
2022,Civil Engineering,Open,Ohu,1.29
2022,Automobile Engineering,Open,Hu,17.43
2022,Automobile Engineering,Open,Ohu,24.43
2023,Computer Engineering,Open,Hu,88.91
2023,Computer Engineering,Open,Ohu,90.59
2023,Computer Engineering,Sc,Hu,75.17
2023,Computer Engineering,Sc,Ohu,84.43
2023,Computer Engineering,St,Hu,79.78
2023,Computer Engineering,St,Ohu,69.59
2023,Computer Engineering,Obc,Hu,88.26
2023,Computer Engineering,Obc,Ohu,90.18
2023,Artificial Intelligence And Data Science,Open,Hu,84.51
2023,Artificial Intelligence And Data Science,Open,Ohu,88.74
2023,Artificial Intelligence And Data Science,Sc,Hu,71.26
2023,Artificial Intelligence And Data Science,Sc,Ohu,83.34
2023,Artificial Intelligence And Data Science,St,Hu,69.74
2023,Artificial Intelligence And Data Science,St,Ohu,78.77
2023,Artificial Intelligence And Data Science,Obc,Hu,83.28
2023,Artificial Intelligence And Data Science,Obc,Ohu,88.07
2023,Electronics And Telecommunication,Open,Hu,73.26
2023,Electronics And Telecommunication,Open,Ohu,80.73
2023,Electronics And Telecommunication,Sc,Hu,48.97
2023,Electronics And Telecommunication,Sc,Ohu,71.26
2023,Electronics And Telecommunication,St,Hu,33.55
2023,Electronics And Telecommunication,St,Ohu,69.88
2023,Electronics And Telecommunication,Obc,Hu,70.61
2023,Electronics And Telecommunication,Obc,Ohu,79.78
2023,Mechanical Engineering,Open,Hu,18.44
2023,Mechanical Engineering,Open,Ohu,9.18
2023,Mechanical Engineering,Sc,Hu,6.29
2023,Civil Engineering,Open,Hu,6.19
2023,Civil Engineering,Open,Ohu,30.58
