Question,Answer,Categorey
What’s the full form of ADYPSOE?,"The full form of ADYPSOE is Ajeenkya D.Y Patil School of Engineering, an acronym that stands for quality and innovation in the field of engineering education.",College Name
What is the acronym for this college?,"The acronym for this college is ADYPSOE, representing Ajeenkya D.Y Patil School of Engineering, a name that carries a legacy of excellence in engineering.",College Name
where is the collage located?,"The college is located in Charholi via Lohegaon, Pune, Maharashtra, India.",College Address
what  are the transportation facility available,There is a special PMT Bus available for college,College Address
Where is the SOE situted,"The School of Engineering (SOE) is situated within the Ajeenkya DY Patil School of Engineering campus in Charholi via Lohegaon, Pune.",College Address
What is the street address of the college?,"Charholi via Lohegaon, Pune.",College Address
What is the postal or ZIP code for the college,412105,College Address
Is there a specific building or department name included in the address?,Yes there is a specific Building  for SOE near solar parking area,College Address
What is the nearest public transportation option to the college?,There is a Bus stop right outside of the college,College Address
Address of college.,"The college is located in Charholi via Lohegaon, Pune, Maharashtra, India.",College Address
Give me college address.,"The college is located in Charholi via Lohegaon, Pune, Maharashtra, India.",College Address
what is collage address?,"The college is located in Charholi via Lohegaon, Pune, Maharashtra, India.",College Address
Could you please provide me contact details of college.,"You can reach Ajeenkya D.Y Patil School of Engineering at the following contact number: 020-35037922. For any admissions-related inquiries, you can email us at admissions@dypic.in.",Contact Information
How can I contact to college admin section.,"To contact the college admin section, please dial 020-35037922 or send an email to admissions@dypic.in. They will assist you with your administrative queries.",Contact Information
What is the contact number for the college?,The contact number for Ajeenkya D.Y Patil School of Engineering is 020-35037922.,Contact Information
What is the email address for admissions inquiries?,"For admissions inquiries, please email admissions@dypic.in.",Contact Information
How do I contact the student services department?,You can reach the student services department by calling 020-35037922 or by emailing admissions@dypic.in.,Contact Information
Can you provide the phone number for the registrar's office?,The phone number for the registrar's office is 020-35037922. You may also reach out via email at admissions@dypic.in.,Contact Information
What is the main contact email for the college?,The main contact email for Ajeenkya D.Y Patil School of Engineering is admissions@dypic.in.,Contact Information
How can I contact the college for general inquiries?,"For general inquiries, you can call the college at 020-35037922 or email admissions@dypic.in.",Contact Information
What is the phone number for the college helpdesk?,The phone number for the college helpdesk is 020-35037922.,Contact Information
Is there a general inquiry phone number for the college?,"Yes, the general inquiry phone number for the college is 020-35037922.",Contact Information
How can I contact the campus security office?,"To contact the campus security office, you can call the main contact number 020-35037922. The college administration will direct your call to the appropriate department.",Contact Information
What is the timing of College Admin section?,,Office Hours
What is lunch timing of ADYPSOE Admin section?,ADYPSOE College admin section lunch timing is between 1pm-2pm,Office Hours
Are there any specific hours for the technical support office?,10 am to 5pm,Office Hours
When is helpdesk available?,Helpdesk Availability: The helpdesk is available from 10 AM to 5 PM.,Office Hours
What are the college office hours?,College Office Hours: The college office is open from 10 AM to 5 PM.,Office Hours
When is the administration office open?,Administration Office Hours: The administration office is open from 10 AM to 5 PM.,Office Hours
What are the working hours for the admissions office?,The admissions office operates from 10 AM to 5 PM,Office Hours
Can you provide the office hours for student services?,The student services office is available from 10 AM to 5 PM.,Office Hours
What time does the registrar’s office open and close?,The registrar’s office is open from 10 AM to 5 PM,Office Hours
Is ncc present in college?,"Yes, there is ncc present in our college in Army wing, battalion name of our college ncc is 1 MAHARASHTRA SIGNAL COMPANY from year 2022",NCC
Which wing of ncc is present in college?,Army wing of NCC is present in ADYPSOE,NCC
When was NCC establised in college?,NCC was establish in year 2022 in ADYPSOE,NCC
How can I enroll in NCC?,"To enroll in ADYPSOE NCC, every year limited vacancy of recruitment is conducted in our college campus by the NCC officer and PI staff of our battalion. ",NCC
Who is current NCC officer in ADYPSOE NCC?  ,Current NCC officer of ADYPSOE NCC is lieutenant Aniket Nemade.,NCC
Where is the NCC office present in College?,Our college NCC office is present in lower ground floor of SOET Building. ,NCC
What is the process to enroll in NCC in ADYPSOE?,To enroll in ADYPSOE NCC follow below steps:,NCC
,step1: Filling of Google form -Notice will be publish for recruitment every year on college departmentwise notice board and one google form will be circulated through which interested students should fill the Gform accordingly,NCC
,step2: Physical and written test -One whatsapp group will be created of the students who registered for recruitment and date of the same will be announced on the group by seniors and ncc officer and accordingly students should be present on mentioned date for physical and wrriten examination,NCC
,step3 : Interview round -There will be interview of the students who all are done with physical and written examination by the NCC officer,
,"step4 :Result -Result will be annouced of the selected students who will be hence called as cadet on the basis of there score of physical and witten examination and depending upon the interview, further process of documentation and all other formalities will be shared with selected students.",
Can i apply for Ncc in Second year of Engineering?,"Yes, you are eligible to apply for Ncc in Second year of Engineering.",
Can i apply for Ncc in Third year of Engineering?,"No, you are not eligible for Ncc in Third year of Engineering,minimum criteria to apply for Ncc is Second year of Enginnering as Ncc is of 3 Years and it should complete with your engineering. ",NCC
Is ADYPSOE Ncc free?,ADYPSOE Ncc comes under self financed scheme as student who enrolls in ADYPSOE is asked before only in interview whether a student is willing to join self financed Ncc.,NCC
What sports facilities are available at Ajeenkya D.Y Patil School of Engineering?,"Ajeenkya D.Y. Patil School of Engineering offers a variety of sports facilities for both indoor and outdoor activities:

Indoor Sports Facilities:
Table Tennis
Badminton
Chess
Carrom
Outdoor Sports Facilities:
Football
Cricket
Tennis
Basketball
Volleyball",Sports
Do you have a gym on campus?,"Yes, an open gym is available on campus, equipped with tools and exercises for cardio, strength training, and flexibility.",Sports Facilities
What are the hours for the college sports complex?,"The college sports complex is open from 10:00 AM to 5:00 PM, for further details you can visit sports office in lower ground floor of soet building.",Sports Facilities
Is there a swimming pool available for students?,"No, a swimming pool is not available currently, but it will be available shortly.",Sports Facilities
Can students use the tennis courts?,"Yes, students can use the tennis courts during college sports hours from 10:00 AM to 5:00 PM, for further details you can visit sports office in lower ground floor of soet building.",Sports Facilities
What sports teams can students join?,"Students can join sports teams for football, cricket, tennis, basketball, and volleyball",Sports Facilities
Do you have facilities for indoor sports?,"Yes, we have an indoor sports complex with facilities for table tennis, badminton, chess, and carrom.",Sports Facilities
Can you provide information about the college's football team?,"The college's football team is actively involved in various inter-college tournaments and leagues. The team practices regularly and participates in competitive matches throughout the academic year. For more specific details about the team, including practice schedules and tryouts, you can contact the sports department",Sports Facilities
